央视,#genre#
CCTV2,http://222.241.154.37:9901/tsfile/live/23002_1.m3u8
CCTV3,http://222.241.154.37:9901/tsfile/live/23003_1.m3u8
CCTV4,http://222.241.154.37:9901/tsfile/live/23004_1.m3u8
CCTV5,http://222.241.154.37:9901/tsfile/live/23005_1.m3u8
CCTV6,http://222.241.154.37:9901/tsfile/live/23006_1.m3u8
CCTV7,http://222.241.154.37:9901/tsfile/live/23007_1.m3u8
CCTV8,http://222.241.154.37:9901/tsfile/live/23008_1.m3u8
CCTV9,http://222.241.154.37:9901/tsfile/live/23009_1.m3u8
CCTV10,http://222.241.154.37:9901/tsfile/live/23010_1.m3u8
CCTV11,http://222.241.154.37:9901/tsfile/live/23011_1.m3u8
CCTV12,http://222.241.154.37:9901/tsfile/live/23012_1.m3u8
CCTV13,http://222.241.154.37:9901/tsfile/live/23013_1.m3u8
CCTV15,http://222.241.154.37:9901/tsfile/live/23015_1.m3u8
CCTV16,http://222.241.154.37:9901/tsfile/live/23016_1.m3u8
CCTV17,http://222.241.154.37:9901/tsfile/live/23017_1.m3u8
CCTV1,http://60.223.90.74:8002/rtp/226.0.2.153:9136
CCTV2,http://60.223.90.74:8002/rtp/226.0.2.154:9144
CCTV3,http://60.223.90.74:8002/rtp/226.0.2.208:9576
CCTV4,http://60.223.90.74:8002/rtp/226.0.2.156:9160
CCTV5,http://60.223.90.74:8002/rtp/226.0.2.209:9584
CCTV6,http://60.223.90.74:8002/rtp/226.0.2.210:9592
CCTV7,http://60.223.90.74:8002/rtp/226.0.2.159:9184
CCTV8,http://60.223.90.74:8002/rtp/226.0.2.211:9600
CCTV9,http://60.223.90.74:8002/rtp/226.0.2.161:9200
CCTV10,http://60.223.90.74:8002/rtp/226.0.2.162:9208
CCTV12,http://60.223.90.74:8002/rtp/226.0.2.164:9224
CCTV13,http://60.223.90.74:8002/rtp/226.0.2.165:9232
CCTV14,http://60.223.90.74:8002/rtp/226.0.2.166:9240
CCTV5+,http://60.223.90.74:8002/rtp/226.0.2.168:9256
CCTV16,http://60.223.90.74:8002/rtp/226.0.2.169:9264
CCTV17,http://60.223.90.74:8002/rtp/226.0.2.170:9272
CCTV1,http://60.223.90.74:8002/rtp/226.0.2.16:8040
CCTV1,http://60.223.90.74:8002/rtp/226.0.2.18:8056
CCTV2,http://60.223.90.74:8002/rtp/226.0.2.19:8064
CCTV3,http://60.223.90.74:8002/rtp/226.0.2.20:8072
CCTV4,http://60.223.90.74:8002/rtp/226.0.2.21:8080
CCTV5,http://60.223.90.74:8002/rtp/226.0.2.22:8088
CCTV6,http://60.223.90.74:8002/rtp/226.0.2.23:8096
CCTV7,http://60.223.90.74:8002/rtp/226.0.2.24:8104
